"00000001","Randy","4256734655","128274.34","Downing","Redmond","WA","98070",
"00000002","Orton","4253456723","64536.34","Seseme","Bellevue","WA","98070",
"00000003","Gary","3524567888","352630.76","Green","Irvine","CA","67809",
"00000004","Bale","5346780999","352649.09","Kent","Atlanta","GA","65436",
"00000005","Jose","4356782354",354736.78","Meeting","Vancouver","WA","25345",
"00000006","Kante","4253627666","45367.98","Green","Pullman","WA","42353",
"00000007","Rose","5647896333","736342.67","Elm","Greensboro","NC","36274",
"00000008","Krill","5243678777","3645.98","Glow","Sammamish","WA","98074",
"00000009","Dante","2536786544","36457.09","Seem","Princeton","NJ","25367",
"00000010","Santa","4256786555","2847563.98","Onix","Woodinville","WA","27463",
